id,year,state_abbr,race_id,population
878,2012,HI,2,3079
879,2012,HI,3,527745
880,2012,HI,4,133873
881,2012,HI,5,320311
882,2013,HI,0,344488
883,2013,HI,1,24532
884,2013,HI,2,3050
885,2013,HI,3,526743
886,2013,HI,4,134733
887,2013,HI,5,327334
888,2014,HI,0,350634
889,2014,HI,1,26913
890,2014,HI,2,2725
891,2014,HI,3,529907
892,2014,HI,4,138735
893,2014,HI,5,328433
894,2015,HI,0,357164
895,2015,HI,1,28688
896,2015,HI,2,3012
897,2015,HI,3,530551
898,2015,HI,4,138901
899,2015,HI,5,333119
900,2016,HI,0,353643
901,2016,HI,1,25871
902,2016,HI,2,2715
903,2016,HI,3,537363
904,2016,HI,4,143973
905,2016,HI,5,336629
906,2017,HI,0,357308
907,2017,HI,1,25884
908,2017,HI,2,2756
909,2017,HI,3,540556
910,2017,HI,4,142600
911,2017,HI,5,338498
912,2018,HI,0,355612
913,2018,HI,1,26266
914,2018,HI,2,2987
915,2018,HI,3,536842
916,2018,HI,4,143274
917,2018,HI,5,341756
918,2019,HI,0,354847
919,2019,HI,1,26025
920,2019,HI,2,3710
921,2019,HI,3,537355
922,2019,HI,4,142997
923,2019,HI,5,339727
924,2020,HI,0,342923
925,2020,HI,1,26717
926,2020,HI,2,3508
927,2020,HI,3,534519
928,2020,HI,4,147698
929,2020,HI,5,344918
930,2021,HI,0,344295
931,2021,HI,1,28142
932,2021,HI,2,4286
933,2021,HI,3,544643
934,2021,HI,4,153485
935,2021,HI,5,355014
936,2009,IA,0,2759828
937,2009,IA,1,72103
938,2009,IA,2,9404
939,2009,IA,3,47092
940,2009,IA,4,832
941,2009,IA,5,43466
942,2010,IA,0,2773410
943,2010,IA,1,82682
944,2010,IA,2,9825
945,2010,IA,3,50363
946,2010,IA,4,961
947,2010,IA,5,50491
948,2011,IA,0,2782349
949,2011,IA,1,85714
950,2011,IA,2,9958
951,2011,IA,3,52881
952,2011,IA,4,1112
953,2011,IA,5,52876
954,2012,IA,0,2793432
955,2012,IA,1,88664
956,2012,IA,2,9708
957,2012,IA,3,54262
958,2012,IA,4,1308
959,2012,IA,5,56045
960,2013,IA,0,2802839
961,2013,IA,1,91754
962,2013,IA,2,9440
963,2013,IA,3,55878
964,2013,IA,4,1389
965,2013,IA,5,58229
966,2014,IA,0,2813097
967,2014,IA,1,95716
968,2014,IA,2,9688
969,2014,IA,3,59726
970,2014,IA,4,1715
971,2014,IA,5,58221
972,2015,IA,0,2820046
973,2015,IA,1,97788
974,2015,IA,2,9977
975,2015,IA,3,62997
976,2015,IA,4,1882
977,2015,IA,5,60964
978,2016,IA,0,2823890
979,2016,IA,1,103052
980,2016,IA,2,9951
981,2016,IA,3,66570
982,2016,IA,4,2422
983,2016,IA,5,61294
984,2017,IA,0,2824197
985,2017,IA,1,106762
986,2017,IA,2,10791
987,2017,IA,3,71178
988,2017,IA,4,2913
989,2017,IA,5,62734
990,2018,IA,0,2827889
991,2018,IA,1,109911
992,2018,IA,2,11549
993,2018,IA,3,75083
994,2018,IA,4,3129
995,2018,IA,5,65770
996,2019,IA,0,2826070
997,2019,IA,1,116359
998,2019,IA,2,11976
999,2019,IA,3,75741
1000,2019,IA,4,3729
1001,2019,IA,5,66585
1002,2020,IA,0,2806418
1003,2020,IA,1,117035
1004,2020,IA,2,10538
1005,2020,IA,3,79296
1006,2020,IA,4,3941
1007,2020,IA,5,92979
1008,2021,IA,0,2795319
1009,2021,IA,1,119036
1010,2021,IA,2,10889
1011,2021,IA,3,79188
1012,2021,IA,4,4182
1013,2021,IA,5,123765
1014,2009,ID,0,1374465
1015,2009,ID,1,9030
1016,2009,ID,2,18352
1017,2009,ID,3,16739
1018,2009,ID,4,1827
1019,2009,ID,5,36454
1020,2010,ID,0,1407354
1021,2010,ID,1,8674
1022,2010,ID,2,18951
1023,2010,ID,3,17939
1024,2010,ID,4,2284
1025,2010,ID,5,37370
1026,2011,ID,0,1431372
1027,2011,ID,1,8823
1028,2011,ID,2,19584
1029,2011,ID,3,18714
1030,2011,ID,4,2425
1031,2011,ID,5,37948
1032,2012,ID,0,1445289
1033,2012,ID,1,8821
1034,2012,ID,2,19376
1035,2012,ID,3,19097
1036,2012,ID,4,2213
1037,2012,ID,5,39180
1038,2013,ID,0,1455692
1039,2013,ID,1,8957
1040,2013,ID,2,19984
1041,2013,ID,3,20141
1042,2013,ID,4,2216
1043,2013,ID,5,39459
1044,2014,ID,0,1468732
1045,2014,ID,1,9334
