incident_id,incident_year,incident_date,jurisdiction_id,state_abbr,offender_race_id,offender_count,victim_count
137282,2009,2009-10-16,0,CA,6,0,1
137283,2009,2009-06-16,0,CA,1,1,1
137284,2009,2009-01-26,0,CA,0,4,2
137285,2009,2009-01-29,0,CA,0,1,1
137286,2009,2009-02-10,0,CA,0,1,1
137287,2009,2009-02-24,0,CA,6,1,1
137288,2009,2009-02-26,0,CA,0,1,1
137289,2009,2009-03-21,0,CA,0,4,1
137290,2009,2009-01-21,0,CA,0,2,1
137291,2009,2009-01-09,0,CA,6,0,1
137292,2009,2009-03-07,0,CA,6,0,1
137293,2009,2009-03-22,0,CA,0,2,1
137294,2009,2009-04-11,0,CA,0,1,1
137295,2009,2009-05-04,0,CA,0,1,1
137296,2009,2009-04-07,0,CA,0,1,1
137297,2009,2009-05-01,0,CA,6,0,1
137298,2009,2009-05-20,0,CA,0,4,1
137299,2009,2009-05-24,0,CA,1,1,1
137300,2009,2009-05-06,0,CA,0,1,1
137301,2009,2009-05-08,0,CA,0,1,1
137302,2009,2009-02-05,0,CA,6,0,1
137303,2009,2009-02-07,0,CA,6,0,1
137304,2009,2009-03-03,0,CA,6,0,1
137305,2009,2009-03-04,0,CA,0,1,1
137306,2009,2009-03-29,0,CA,6,0,2
137307,2009,2009-03-10,0,CA,6,0,1
137308,2009,2009-03-08,0,CA,1,1,1
137309,2009,2009-04-27,0,CA,6,0,1
137310,2009,2009-04-19,0,CA,0,2,1
137311,2009,2009-04-30,0,CA,6,0,1
137312,2009,2009-04-23,0,CA,6,0,1
137313,2009,2009-04-24,0,CA,6,0,1
137314,2009,2009-04-13,0,CA,6,0,1
137315,2009,2009-04-05,0,CA,0,1,1
137316,2009,2009-05-03,0,CA,6,0,1
137317,2009,2009-04-18,0,CA,0,3,1
137318,2009,2009-05-06,0,CA,6,0,1
137319,2009,2009-05-14,0,CA,1,1,1
137320,2009,2009-05-10,0,CA,6,0,1
137321,2009,2009-05-14,0,CA,6,0,1
137322,2009,2009-05-12,0,CA,6,0,1
137323,2009,2009-05-27,0,CA,0,1,1
137324,2009,2009-06-28,0,CA,0,1,1
137325,2009,2009-06-19,0,CA,1,1,1
137326,2009,2009-06-04,0,CA,6,1,2
137327,2009,2009-07-12,0,CA,1,2,1
137328,2009,2009-07-16,0,CA,1,1,1
137329,2009,2009-07-31,0,CA,0,2,1
137330,2009,2009-07-28,0,CA,0,2,2
137331,2009,2009-07-08,0,CA,0,1,1
137332,2009,2009-08-25,0,CA,0,2,1
137333,2009,2009-08-21,0,CA,6,0,1
137334,2009,2009-09-18,0,CA,0,2,2
137335,2009,2009-03-27,0,CA,6,0,1
137336,2009,2009-04-23,0,CA,6,0,1
137337,2009,2009-05-21,0,CA,6,0,1
137338,2009,2009-06-05,0,CA,6,0,1
137339,2009,2009-06-08,0,CA,6,0,1
137340,2009,2009-06-14,0,CA,0,1,1
137341,2009,2009-06-06,0,CA,6,0,1
137342,2009,2009-06-07,0,CA,0,1,1
137343,2009,2009-06-20,0,CA,0,2,1
137344,2009,2009-06-17,0,CA,6,0,1
137345,2009,2009-07-24,0,CA,0,1,1
137346,2009,2009-08-01,0,CA,0,1,1
137347,2009,2009-07-23,0,CA,0,1,1
137348,2009,2009-07-25,0,CA,0,3,1
137349,2009,2009-07-09,0,CA,1,1,1
137350,2009,2009-07-16,0,CA,0,3,5
137351,2009,2009-07-24,0,CA,6,0,1
137352,2009,2009-08-25,0,CA,0,4,1
137353,2009,2009-07-23,0,CA,0,4,1
137354,2009,2009-10-01,0,CA,6,0,1
137355,2009,2009-10-20,0,CA,6,0,1
137356,2009,2009-11-05,0,CA,0,1,1
137357,2009,2009-11-10,0,CA,6,1,1
137358,2009,2009-12-04,0,CA,6,2,1
137359,2009,2009-11-16,0,CA,6,0,1
137360,2009,2009-11-05,0,CA,6,0,1
137361,2009,2009-11-26,0,CA,6,0,1
137362,2009,2009-06-11,0,CA,0,1,1
137363,2009,2009-06-01,0,CA,6,0,1
137364,2009,2009-08-26,0,CA,0,1,1
137365,2009,2009-09-07,0,CA,6,0,1
137366,2009,2009-10-01,0,CA,6,0,1
137367,2009,2009-09-25,0,CA,0,2,1
137368,2009,2009-10-25,0,CA,0,2,1
137369,2009,2009-10-28,0,CA,6,1,1
137370,2009,2009-09-29,0,CA,0,1,1
137371,2009,2009-01-01,0,CA,0,1,1
137372,2009,2009-12-13,0,CA,6,0,1
137373,2009,2009-05-10,0,CA,6,0,2
137374,2009,2009-02-17,0,CA,0,1,1
137375,2009,2009-04-18,0,CA,0,1,1
137376,2009,2009-06-12,0,CA,6,0,2
137377,2009,2009-07-29,0,CA,6,0,1
137378,2009,2009-12-29,0,CA,6,0,1
137379,2009,2009-01-20,0,CA,0,7,1
137380,2009,2009-08-23,0,CA,6,0,1
137381,2009,2009-08-04,0,CA,6,0,1
137382,2009,2009-04-03,0,CA,6,0,1
137383,2009,2009-12-04,0,CA,0,1,2
137384,2009,2009-06-18,0,CA,0,1,1
137385,2009,2009-12-23,0,CA,0,2,2
137386,2009,2009-04-15,0,CA,6,0,1
137387,2009,2009-09-03,0,CA,0,1,1
137388,2009,2009-10-18,0,CA,0,4,2
137389,2009,2009-03-24,0,CA,0,1,1
137390,2009,2009-04-01,0,CA,0,1,1
137391,2009,2009-05-21,0,CA,6,0,1
137392,2009,2009-04-09,0,CA,6,0,1
137393,2009,2009-07-12,0,CA,6,0,1
137394,2009,2009-07-12,0,CA,6,0,1
137395,2009,2009-09-21,0,CA,0,3,1
137396,2009,2009-08-21,0,CA,1,1,1
137397,2009,2009-03-28,0,CA,6,0,1
137398,2009,2009-08-02,5,CA,0,1,3
137399,2009,2009-02-06,0,CA,0,1,1
137400,2009,2009-05-27,0,CA,0,1,1
137401,2009,2009-04-15,0,CA,1,1,1
137402,2009,2009-05-21,0,CA,6,0,1
137403,2009,2009-08-23,0,CA,1,2,1
137404,2009,2009-08-18,0,CA,1,1,2
137405,2009,2009-10-06,0,CA,6,0,2
137406,2009,2009-11-17,0,CA,0,5,2
